Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,43,43
2,0,0,0,0,0,0,0,0,0,75,75
3,0,0,0,0,0,0,0,0,0,75,75
4,0,0,0,0,0,0,0,0,0,101,101
5,0,0,0,0,0,0,0,0,0,107,107
6,0,0,0,0,0,0,0,0,0,113,113
7,0,0,0,0,0,0,0,0,0,127,127
8,0,0,0,0,0,0,0,0,0,88,88
9,0,0,0,0,0,0,0,0,0,119,119
10,0,0,0,0,0,0,0,0,0,104,104
11,1,0,0,0,0,0,0,0,0,87,88
12,1,0,0,0,0,0,0,0,0,80,81
13,0,0,0,0,0,0,0,0,0,88,88
14,2,0,0,0,0,0,0,0,0,98,100
15,1,0,0,0,0,0,0,0,0,77,78
16,3,0,0,0,0,0,0,0,0,62,65
17,2,0,0,0,0,0,0,0,0,64,66
18,4,0,0,0,0,0,0,0,0,65,69
19,4,0,0,0,0,0,0,0,0,50,54
20,0,0,0,0,0,0,0,0,0,57,57
21,5,0,0,0,0,0,0,0,0,48,53
22,4,0,0,0,0,0,0,0,0,71,75
23,2,0,0,0,0,0,0,0,0,62,64
24,2,0,0,0,0,0,0,0,0,60,62
25,0,0,0,0,0,0,0,0,0,61,61
26,0,0,0,0,0,0,0,0,0,83,83
27,2,0,0,0,0,0,0,0,0,79,81
28,0,0,0,0,0,0,0,0,0,70,70
29,4,0,0,0,0,0,0,0,0,66,70
30,1,0,0,0,0,0,0,0,0,83,84
31,0,0,0,0,0,0,0,0,0,81,81
32,1,0,0,0,0,0,0,0,0,63,64
33,0,0,0,0,0,0,0,0,0,75,75
34,1,0,0,0,0,0,0,0,0,80,81
35,0,0,0,0,0,0,0,0,0,67,67
36,1,0,0,0,0,0,0,0,0,64,65
37,0,0,0,0,0,0,0,0,0,65,66
38,1,0,0,0,0,0,0,0,0,60,62
39,1,0,0,0,0,0,0,0,0,57,59
40,0,0,0,0,0,0,0,0,0,55,55
41,0,0,0,0,0,0,0,0,0,60,60
42,0,0,0,0,0,0,0,0,0,50,50
43,0,0,0,0,0,0,0,0,0,59,59
44,0,0,0,0,0,0,0,0,0,58,62
45,0,0,0,0,0,0,0,0,0,51,53
46,0,0,0,0,0,0,0,0,0,57,57
47,0,0,0,0,0,0,0,0,0,41,42
48,0,0,0,0,0,0,0,0,0,54,54
49,0,0,0,0,0,0,0,0,0,54,54
50,0,0,0,0,0,0,0,0,0,53,53
51,0,0,0,0,0,0,0,0,0,75,76
52,0,0,0,0,0,0,0,0,0,50,51
53,0,0,0,0,0,0,0,0,0,74,76
54,0,0,0,0,0,0,0,0,0,45,46
55,0,0,0,0,0,0,0,0,0,57,57
56,1,0,0,0,0,0,0,0,0,61,62
57,0,0,0,0,0,0,0,0,0,53,54
58,0,0,0,0,0,0,0,0,0,49,49
59,0,0,0,0,0,0,0,0,0,62,62
60,0,0,0,1,0,0,0,0,0,51,53
61,0,0,0,0,0,0,0,0,0,54,54
62,0,0,0,1,0,0,0,0,0,48,52
63,0,0,0,0,0,0,0,0,0,38,38
64,0,0,0,0,0,0,0,0,0,51,51
65,0,0,0,0,0,0,0,0,0,41,41
66,0,0,0,0,0,0,0,0,0,53,54
67,0,0,0,0,0,0,0,0,0,38,38
68,0,0,0,0,0,0,0,0,0,54,54
69,0,0,0,0,0,0,0,0,0,53,54
70,0,0,0,1,0,0,0,0,0,42,43
71,0,0,0,1,0,0,0,0,0,50,54
72,0,0,0,2,0,0,0,0,0,72,75
73,0,0,0,1,0,0,0,0,0,43,44
74,0,0,0,0,0,0,0,0,0,53,53
75,0,0,0,1,0,0,0,0,0,48,51
76,0,0,0,0,0,0,0,0,0,57,57
77,0,0,0,1,0,0,0,0,0,52,53
78,0,0,0,1,0,0,0,0,0,48,50
79,0,0,0,2,0,0,0,0,0,60,63
80,0,0,0,1,0,0,0,0,0,44,46
81,0,0,0,0,0,0,0,0,0,39,39
82,0,0,0,0,0,0,0,0,0,53,53
83,0,0,0,1,0,0,0,0,0,53,54
84,0,0,0,0,0,0,0,0,0,44,45
85,0,0,0,1,0,0,0,0,0,45,47
86,0,0,0,1,0,0,0,0,0,65,67
87,0,0,0,1,0,0,0,0,0,48,50
88,0,0,0,4,0,0,0,0,0,54,58
89,0,0,0,2,0,0,0,0,0,55,57
90,0,0,0,1,0,0,0,0,0,51,54
91,0,0,0,5,0,0,0,0,0,56,63
92,0,0,0,1,0,0,0,0,0,59,60
93,0,0,0,2,0,0,0,0,0,52,56
94,0,0,0,1,0,0,0,0,0,58,60
95,0,0,0,0,0,0,0,0,0,55,57
96,0,0,0,1,0,0,0,0,0,57,60
97,0,0,0,1,0,0,0,0,0,50,52
98,0,0,0,2,0,0,0,0,0,46,49
99,0,0,0,0,0,0,0,0,0,37,39
100,0,0,0,3,0,0,0,0,0,34,39
101,0,0,0,3,0,0,0,0,0,46,50
102,0,0,1,1,0,0,0,0,0,53,55
103,0,0,0,4,0,0,0,0,0,42,47
104,0,0,0,2,0,0,0,0,0,44,48
105,0,0,0,1,0,0,0,0,0,46,49
106,0,0,0,2,0,0,0,0,0,42,44
107,0,0,0,0,0,0,0,0,0,47,48
108,0,0,0,1,0,0,0,0,0,48,50
109,0,0,0,1,0,0,0,0,0,51,55
110,0,0,0,0,0,0,0,0,0,68,69
111,0,0,0,3,0,0,0,0,0,45,50
112,0,0,0,3,0,0,0,0,0,55,59
113,0,0,0,3,0,0,0,0,0,56,60
114,0,0,0,3,0,0,0,0,0,55,59
115,0,0,0,0,0,0,0,0,0,62,63
116,1,0,0,5,0,0,0,0,0,49,58
117,0,0,0,0,0,0,0,0,0,59,61
118,1,0,0,1,0,0,0,0,0,48,53
119,0,0,0,2,0,0,0,0,0,42,46
120,0,0,0,3,0,0,0,0,0,61,65
121,1,0,0,4,0,0,0,0,0,45,50
122,0,0,0,7,0,0,0,0,0,51,62
123,0,0,0,5,0,0,0,0,0,48,55
124,0,0,0,2,0,0,0,0,0,39,43
125,0,0,0,5,0,0,0,0,0,57,64
126,0,0,0,5,0,0,0,0,0,49,56
127,0,0,0,5,0,0,0,0,0,48,59
128,0,0,0,4,0,0,0,0,0,50,56
129,0,0,0,6,0,0,0,0,0,42,48
130,1,0,0,2,0,0,0,0,0,56,60
131,0,0,0,6,0,0,0,0,0,59,66
132,0,0,0,3,0,0,0,0,0,48,52
133,0,0,0,2,0,0,0,0,0,47,50
134,1,0,0,4,0,0,0,0,0,32,41
135,0,0,0,2,0,0,0,0,0,46,50
136,1,0,0,2,0,0,0,0,0,50,56
137,1,0,0,1,0,0,0,0,0,53,57
138,1,0,0,1,0,0,0,0,0,41,48
139,0,0,0,1,0,0,0,0,0,65,69
140,2,0,0,2,0,0,0,0,0,38,48
141,0,0,0,5,0,0,0,0,0,44,52
142,1,0,0,4,0,0,0,0,0,49,56
143,0,0,0,2,0,0,0,0,0,38,45
144,0,0,0,5,0,0,0,0,0,49,56
