Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,34,34
2,0,0,0,0,0,0,0,0,0,89,89
3,0,0,0,0,0,0,0,0,0,96,96
4,0,0,0,0,0,0,0,0,0,120,120
5,0,0,0,0,0,0,0,0,0,121,121
6,0,0,0,0,0,0,0,0,0,122,122
7,0,0,0,0,0,0,0,0,0,132,132
8,0,0,0,0,0,0,0,0,0,106,106
9,0,0,0,0,0,0,0,0,0,133,133
10,0,0,0,0,0,0,0,0,0,117,117
11,3,0,0,0,0,0,0,0,0,95,98
12,0,0,0,0,0,0,0,0,0,82,82
13,2,0,0,0,0,0,0,0,0,94,96
14,2,0,0,0,0,0,0,0,0,74,76
15,6,0,0,0,0,0,0,0,0,66,72
16,3,0,0,0,0,0,0,0,0,57,60
17,9,0,0,0,0,0,0,0,0,82,91
18,2,0,0,0,0,0,0,0,0,73,75
19,2,0,0,0,0,0,0,0,0,56,58
20,2,0,0,0,0,0,0,0,0,74,76
21,0,0,0,0,0,0,0,0,0,60,60
22,4,0,0,0,0,0,0,0,0,65,69
23,3,0,0,0,0,0,0,0,0,85,88
24,3,0,0,0,0,0,0,0,0,65,68
25,1,0,0,0,0,0,0,0,0,60,61
26,1,0,0,0,0,0,0,0,0,68,69
27,0,0,0,0,0,0,0,0,0,81,81
28,0,0,0,0,0,0,0,0,0,62,62
29,0,0,0,0,0,0,0,0,0,83,83
30,1,0,0,0,0,0,0,0,0,64,65
31,0,0,0,0,0,0,0,0,0,75,75
32,0,0,0,0,0,0,0,0,0,76,77
33,0,0,0,0,0,0,0,0,0,65,65
34,1,0,0,0,0,0,0,0,0,87,88
35,1,0,0,0,0,0,0,0,0,82,83
36,0,0,0,0,0,0,0,0,0,75,75
37,0,0,0,0,0,0,0,0,0,65,66
38,0,0,0,0,0,0,0,0,0,66,66
39,0,0,0,0,0,0,0,0,0,70,71
40,0,0,0,0,0,0,0,0,0,62,63
41,0,0,0,0,0,0,0,0,0,61,61
42,0,0,0,0,0,0,0,0,0,53,54
43,0,0,0,0,0,0,0,0,0,67,67
44,1,0,0,0,0,0,0,0,0,59,60
45,1,0,0,0,0,0,0,0,0,73,77
46,0,0,0,0,0,0,0,0,0,52,56
47,0,0,0,0,0,0,0,0,0,72,73
48,0,0,0,0,0,0,0,0,0,71,71
49,0,0,0,0,0,0,0,0,0,63,63
50,1,0,0,0,0,0,0,0,0,50,55
51,0,0,0,0,0,0,0,0,0,74,75
52,0,0,0,0,0,0,0,0,0,59,59
53,0,0,0,0,0,0,0,0,0,61,61
54,0,0,0,0,0,0,0,0,0,45,46
55,0,0,0,0,0,0,0,0,0,76,77
56,0,0,0,0,0,0,0,0,0,62,63
57,0,0,0,0,0,0,0,0,0,75,79
58,0,0,0,0,0,0,0,0,0,64,64
59,0,0,0,1,0,0,0,0,0,56,57
60,0,0,0,2,0,0,0,0,0,66,69
61,0,0,0,0,0,0,0,0,0,57,58
62,0,0,0,0,0,0,0,0,0,59,60
63,0,0,0,0,0,0,0,0,0,49,51
64,0,0,0,2,0,0,0,0,0,67,70
65,0,0,0,0,0,0,0,0,0,61,62
66,0,0,0,2,0,0,0,0,0,73,77
67,0,0,0,0,0,0,0,0,0,73,73
68,0,0,0,1,0,0,0,0,0,62,64
69,0,0,0,0,0,0,0,0,0,68,68
70,0,0,0,0,0,0,0,0,0,49,50
71,0,0,0,0,0,0,0,0,0,62,62
72,0,0,0,3,0,0,0,0,0,55,59
73,0,0,0,0,0,0,0,0,0,61,62
74,0,0,0,0,0,0,0,0,0,61,65
75,0,0,0,0,0,0,0,0,0,59,62
76,0,0,0,2,0,0,0,0,0,63,65
77,0,0,0,2,0,0,0,0,0,61,65
78,0,0,0,0,0,0,0,0,0,59,59
79,0,0,0,0,0,0,0,0,0,52,53
80,0,0,0,0,0,0,0,0,0,59,60
