Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,48,48
2,0,0,0,0,0,0,0,0,0,70,70
3,0,0,0,0,0,0,0,0,0,90,90
4,0,0,0,0,0,0,0,0,0,112,112
5,0,0,0,0,0,0,0,0,0,120,120
6,0,0,0,0,0,0,0,0,0,125,125
7,0,0,0,0,0,0,0,0,0,133,133
8,0,0,0,0,0,0,0,0,0,119,119
9,0,0,0,0,0,0,0,0,0,104,104
10,0,0,0,0,0,0,0,0,0,107,107
11,3,0,0,0,0,0,0,0,0,89,92
12,1,0,0,0,0,0,0,0,0,112,113
13,1,0,0,0,0,0,0,0,0,84,85
14,2,0,0,0,0,0,0,0,0,64,66
15,1,0,0,0,0,0,0,0,0,72,73
16,0,0,0,0,0,0,0,0,0,81,81
17,3,0,0,0,0,0,0,0,0,76,79
18,7,0,0,0,0,0,0,0,0,57,64
19,3,0,0,0,0,0,0,0,0,54,57
20,1,0,0,0,0,0,0,0,0,74,75
21,8,0,0,0,0,0,0,0,0,65,73
22,4,0,0,0,0,0,0,0,0,79,83
23,2,0,0,0,0,0,0,0,0,70,72
24,1,0,0,0,0,0,0,0,0,55,56
25,2,0,0,0,0,0,0,0,0,75,77
26,2,0,0,0,0,0,0,0,0,78,80
27,0,0,0,0,0,0,0,0,0,53,53
28,1,0,0,0,0,0,0,0,0,65,66
29,0,0,0,0,0,0,0,0,0,79,79
30,4,0,0,0,0,0,0,0,0,88,92
31,1,0,0,0,0,0,0,0,0,54,55
32,1,0,0,0,0,0,0,0,0,65,66
33,2,0,0,0,0,0,0,0,0,66,68
34,0,0,0,0,0,0,0,0,0,66,66
35,0,0,0,0,0,0,0,0,0,72,73
36,0,0,0,0,0,0,0,0,0,56,56
37,0,0,0,0,0,0,0,0,0,57,58
38,0,0,0,0,0,0,0,0,0,86,87
39,0,0,0,0,0,0,0,0,0,57,57
40,0,0,0,0,0,0,0,0,0,64,66
41,0,0,0,0,0,0,0,0,0,60,60
42,0,0,0,0,0,0,0,0,0,64,65
43,0,0,0,0,0,0,0,0,0,50,50
44,0,0,0,0,0,0,0,0,0,82,83
45,0,0,0,0,0,0,0,0,0,62,62
46,0,0,0,0,0,0,0,0,0,68,69
47,0,0,0,0,0,0,0,0,0,63,63
48,0,0,0,0,0,0,0,0,0,62,63
49,0,0,0,0,0,0,0,0,0,63,66
50,0,0,0,0,0,0,0,0,0,56,57
51,0,0,0,0,0,0,0,0,0,58,58
52,1,0,0,0,0,0,0,0,0,52,53
53,0,0,0,0,0,0,0,0,0,71,72
54,0,0,0,0,0,0,0,0,0,58,58
55,0,0,0,1,0,0,0,0,0,71,75
56,0,0,0,1,0,0,0,0,0,56,59
57,0,0,0,0,0,0,0,0,0,65,65
58,0,0,0,0,0,0,0,0,0,52,53
59,0,0,0,0,0,0,0,0,0,70,72
60,0,0,0,0,0,0,0,0,0,47,48
61,0,0,0,0,0,0,0,0,0,73,75
62,0,0,0,0,0,0,0,0,0,55,55
63,0,0,0,0,0,0,0,0,0,71,71
64,0,0,0,0,0,0,0,0,0,46,46
65,0,0,0,2,0,0,0,0,0,65,67
66,0,0,0,0,0,0,0,0,0,52,53
67,0,0,0,1,0,0,0,0,0,49,51
68,0,0,0,0,0,0,0,0,0,62,62
69,0,0,0,2,0,0,0,0,0,59,61
70,0,0,0,0,0,0,0,0,0,78,78
71,0,0,0,0,0,0,0,0,0,46,46
72,0,0,0,1,0,0,0,0,0,53,55
73,0,0,0,0,0,0,0,0,0,57,60
74,0,0,0,2,0,0,0,0,0,49,53
75,0,0,0,1,0,0,0,0,0,64,66
76,0,0,0,0,0,0,0,0,0,67,69
77,0,0,0,0,0,0,0,0,0,56,57
78,0,0,0,1,0,0,0,0,0,76,78
79,0,0,0,1,0,0,0,0,0,63,65
80,0,0,0,0,0,0,0,0,0,54,55
81,0,0,0,0,0,0,0,0,0,54,54
82,0,0,0,1,0,0,0,0,0,63,65
83,0,0,0,0,0,0,0,0,0,54,59
84,0,0,0,2,0,0,0,0,0,69,73
85,0,0,0,1,0,0,0,0,0,47,51
86,0,0,0,1,0,0,0,0,0,50,51
87,0,0,0,0,0,0,0,0,0,65,67
88,0,0,0,1,0,0,0,0,0,60,61
89,0,0,0,1,0,0,0,0,0,54,56
90,0,0,0,2,0,0,0,0,0,60,64
91,0,0,0,1,0,0,0,0,0,51,52
92,0,0,0,1,0,0,0,0,0,57,59
93,0,0,0,0,0,0,0,0,0,58,59
94,0,0,0,3,0,0,0,0,0,43,48
95,0,0,0,1,0,0,0,0,0,56,58
96,0,0,0,2,0,0,0,0,0,57,62
97,0,0,0,4,0,0,0,0,0,63,68
98,0,0,0,1,0,0,0,0,0,66,68
99,0,0,0,2,0,0,0,0,0,74,77
100,0,0,0,1,0,0,0,0,0,49,51
101,0,0,0,1,0,0,0,0,0,67,68
102,0,0,0,3,0,0,0,0,0,68,71
103,0,0,0,2,0,0,0,0,0,47,51
104,2,0,0,1,0,0,0,0,0,61,64
105,1,0,0,3,0,0,0,0,0,55,59
106,0,0,0,0,0,0,0,0,0,36,38
107,0,0,0,3,0,0,0,0,0,63,68
108,0,0,0,3,0,0,0,0,0,56,60
109,0,0,0,2,0,0,0,0,0,52,54
110,0,0,0,1,0,0,0,0,0,47,50
111,0,0,0,1,0,0,0,0,0,44,46
112,0,0,0,2,0,0,0,0,0,38,41
113,0,0,0,1,0,0,0,0,0,57,59
114,0,0,0,0,0,0,0,0,0,47,50
115,0,0,0,1,0,0,0,0,0,49,52
116,0,0,0,4,0,0,0,0,0,54,60
117,0,0,0,1,0,0,0,0,0,54,55
118,0,0,0,0,0,0,0,0,0,41,45
119,0,0,0,1,0,0,0,0,0,61,62
120,0,0,0,3,0,0,0,0,0,44,50
121,0,0,0,3,0,0,0,0,0,57,62
122,0,0,0,2,0,0,0,0,0,62,68
123,1,0,0,5,0,0,0,0,0,46,54
124,1,0,0,2,0,0,0,0,0,44,52
125,0,0,0,2,0,0,0,0,0,43,45
126,0,0,0,5,0,0,0,0,0,49,54
127,0,0,0,4,0,0,0,0,0,38,43
128,0,0,0,2,0,0,0,0,0,48,51
129,2,0,0,2,0,0,0,0,0,42,51
130,0,0,0,6,0,0,0,0,0,46,56
131,0,0,0,5,0,0,0,0,0,44,52
132,0,0,0,2,0,0,0,0,0,52,56
133,0,0,0,5,0,0,0,0,0,52,61
134,0,0,0,2,0,0,0,0,0,50,58
135,0,0,0,2,0,0,0,0,0,66,72
136,0,0,0,4,0,0,0,0,0,69,75
137,0,0,0,2,0,0,0,0,0,51,54
138,1,0,0,5,0,0,0,0,0,36,47
139,0,0,0,2,0,0,0,0,0,39,44
140,0,0,0,3,0,0,0,0,0,54,60
141,0,0,0,5,0,0,0,0,0,61,71
142,0,0,0,7,0,0,0,0,0,41,51
143,0,0,0,6,0,0,0,0,0,46,57
144,3,0,0,7,0,0,0,0,0,44,57
145,1,0,0,2,0,0,0,0,0,37,43
146,0,0,0,3,0,0,0,0,0,46,52
147,0,0,0,8,0,0,0,0,0,55,65
148,1,0,0,8,0,0,0,0,0,35,51
149,0,0,0,9,0,0,0,0,0,41,54
