Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,50,50
2,0,0,0,0,0,0,0,0,0,81,81
3,0,0,0,0,0,0,0,0,0,97,97
4,0,0,0,0,0,0,0,0,0,97,97
5,0,0,0,0,0,0,0,0,0,110,110
6,0,0,0,0,0,0,0,0,0,136,136
7,0,0,0,0,0,0,0,0,0,96,96
8,0,0,0,0,0,0,0,0,0,128,128
9,0,0,0,0,0,0,0,0,0,113,113
10,0,0,0,0,0,0,0,0,0,121,121
11,0,0,0,0,0,0,0,0,0,88,88
12,0,0,0,0,0,0,0,0,0,99,99
13,1,0,0,0,0,0,0,0,0,100,101
14,3,0,0,0,0,0,0,0,0,81,84
15,2,0,0,0,0,0,0,0,0,80,82
16,1,0,0,0,0,0,0,0,0,64,65
17,4,0,0,0,0,0,0,0,0,56,60
18,4,0,0,0,0,0,0,0,0,66,70
19,4,0,0,0,0,0,0,0,0,55,59
20,1,0,0,0,0,0,0,0,0,62,63
21,0,0,0,0,0,0,0,0,0,67,67
22,1,0,0,0,0,0,0,0,0,67,68
23,2,0,0,0,0,0,0,0,0,50,52
24,2,0,0,0,0,0,0,0,0,61,63
25,0,0,0,0,0,0,0,0,0,65,65
26,1,0,0,0,0,0,0,0,0,77,78
27,3,0,0,0,0,0,0,0,0,73,76
28,1,0,0,0,0,0,0,0,0,75,76
29,2,0,0,0,0,0,0,0,0,76,78
30,1,0,0,0,0,0,0,0,0,63,64
31,0,0,0,0,0,0,0,0,0,90,91
32,0,0,0,0,0,0,0,0,0,90,90
33,0,0,0,0,0,0,0,0,0,70,70
34,1,0,0,0,0,0,0,0,0,67,68
35,0,0,0,0,0,0,0,0,0,81,82
36,0,0,0,0,0,0,0,0,0,87,87
37,0,0,0,0,0,0,0,0,0,77,77
38,2,0,0,0,0,0,0,0,0,65,67
39,0,0,0,0,0,0,0,0,0,64,65
40,0,0,0,0,0,0,0,0,0,44,45
41,1,0,0,0,0,0,0,0,0,62,63
42,0,0,0,0,0,0,0,0,0,68,69
43,0,0,0,0,0,0,0,0,0,53,54
44,0,0,0,0,0,0,0,0,0,72,73
45,0,0,0,0,0,0,0,0,0,67,67
46,0,0,0,0,0,0,0,0,0,76,79
47,0,0,0,0,0,0,0,0,0,70,71
48,0,0,0,0,0,0,0,0,0,67,68
49,0,0,0,0,0,0,0,0,0,55,56
50,0,0,0,0,0,0,0,0,0,61,62
51,0,0,0,0,0,0,0,0,0,60,60
52,0,0,0,0,0,0,0,0,0,53,55
53,0,0,0,0,0,0,0,0,0,61,63
54,0,0,0,0,0,0,0,0,0,58,58
55,0,0,0,1,0,0,0,0,0,61,63
56,0,0,0,0,0,0,0,0,0,63,66
57,0,0,0,0,0,0,0,0,0,57,58
58,0,0,0,1,0,0,0,0,0,53,55
59,0,0,0,0,0,0,0,0,0,54,55
60,0,0,0,0,0,0,0,0,0,63,64
61,0,0,0,1,0,0,0,0,0,56,58
62,0,0,0,0,0,0,0,0,0,55,58
63,0,0,0,0,0,0,0,0,0,49,49
64,0,0,0,2,0,0,0,0,0,51,53
65,0,0,0,0,0,0,0,0,0,51,53
66,0,0,0,1,0,0,0,0,0,66,70
67,0,0,0,0,0,0,0,0,0,60,61
68,0,0,0,2,0,0,0,0,0,64,66
69,0,0,0,0,0,0,0,0,0,44,45
70,0,0,0,1,0,0,0,0,0,44,45
71,0,0,0,2,0,0,0,0,0,69,73
72,0,0,0,1,0,0,0,0,0,49,51
73,0,0,0,0,0,0,0,0,0,77,79
74,0,0,0,0,0,0,0,0,0,48,50
75,0,0,0,0,0,0,0,0,0,59,61
76,0,0,0,0,0,0,0,0,0,63,64
77,0,0,0,2,0,0,0,0,0,54,56
78,0,0,0,1,0,0,0,0,0,50,51
79,0,0,0,1,0,0,0,0,0,48,49
80,0,0,0,0,0,0,0,0,0,68,71
81,0,0,0,0,0,0,0,0,0,58,58
82,0,0,0,1,0,0,0,0,0,59,62
