Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,46,46
2,0,0,0,0,0,0,0,0,0,81,81
3,0,0,0,0,0,0,0,0,0,104,104
4,0,0,0,0,0,0,0,0,0,123,123
5,0,0,0,0,0,0,0,0,0,139,139
6,0,0,0,0,0,0,0,0,0,149,149
7,0,0,0,0,0,0,0,0,0,131,131
8,0,0,0,0,0,0,0,0,0,126,126
9,0,0,0,0,0,0,0,0,0,110,110
10,1,0,0,0,0,0,0,0,0,114,115
11,1,0,0,0,0,0,0,0,0,105,106
12,4,0,0,0,0,0,0,0,0,95,99
13,0,0,0,0,0,0,0,0,0,73,73
14,0,0,0,0,0,0,0,0,0,97,97
15,2,0,0,0,0,0,0,0,0,81,83
16,2,0,0,0,0,0,0,0,0,78,80
17,2,0,0,0,0,0,0,0,0,79,81
18,3,0,0,0,0,0,0,0,0,62,65
19,3,0,0,0,0,0,0,0,0,73,76
20,3,0,0,0,0,0,0,0,0,61,64
21,2,0,0,0,0,0,0,0,0,68,70
22,2,0,0,0,0,0,0,0,0,58,60
23,0,0,0,0,0,0,0,0,0,79,79
24,2,0,0,0,0,0,0,0,0,73,75
25,2,0,0,0,0,0,0,0,0,67,69
26,1,0,0,0,0,0,0,0,0,83,84
27,3,0,0,0,0,0,0,0,0,71,74
28,1,0,0,0,0,0,0,0,0,64,65
29,0,0,0,0,0,0,0,0,0,83,83
30,2,0,0,0,0,0,0,0,0,77,79
31,1,0,0,0,0,0,0,0,0,87,88
32,0,0,0,0,0,0,0,0,0,60,60
33,0,0,0,0,0,0,0,0,0,74,74
34,0,0,0,0,0,0,0,0,0,76,77
35,1,0,0,0,0,0,0,0,0,75,76
36,1,0,0,0,0,0,0,0,0,67,68
37,0,0,0,0,0,0,0,0,0,55,55
38,0,0,0,0,0,0,0,0,0,73,74
39,1,0,0,0,0,0,0,0,0,69,70
40,1,0,0,0,0,0,0,0,0,67,70
41,0,0,0,0,0,0,0,0,0,77,77
42,1,0,0,0,0,0,0,0,0,72,73
43,0,0,0,0,0,0,0,0,0,68,68
44,0,0,0,0,0,0,0,0,0,64,65
45,0,0,0,0,0,0,0,0,0,61,62
46,0,0,0,0,0,0,0,0,0,67,69
47,0,0,0,0,0,0,0,0,0,67,67
48,0,0,0,0,0,0,0,0,0,56,59
49,0,0,0,0,0,0,0,0,0,78,78
50,1,0,0,0,0,0,0,0,0,67,68
51,1,0,0,0,0,0,0,0,0,78,80
52,1,0,0,0,0,0,0,0,0,60,63
53,0,0,0,0,0,0,0,0,0,77,77
54,0,0,0,0,0,0,0,0,0,70,70
55,0,0,0,0,0,0,0,0,0,60,60
56,0,0,0,0,0,0,0,0,0,45,45
57,0,0,0,0,0,0,0,0,0,68,68
58,0,0,0,1,0,0,0,0,0,64,65
59,0,0,0,0,0,0,0,0,0,64,64
60,0,0,0,1,0,0,0,0,0,54,56
61,0,0,0,1,0,0,0,0,0,61,64
