Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,57,57
2,0,0,0,0,0,0,0,0,0,87,87
3,0,0,0,0,0,0,0,0,0,104,104
4,0,0,0,0,0,0,0,0,0,104,104
5,0,0,0,0,0,0,0,0,0,115,115
6,0,0,0,0,0,0,0,0,0,126,126
7,0,0,0,0,0,0,0,0,0,147,147
8,0,0,0,0,0,0,0,0,0,138,138
9,0,0,0,0,0,0,0,0,0,133,133
10,0,0,0,0,0,0,0,0,0,118,118
11,0,0,0,0,0,0,0,0,0,92,92
12,0,0,0,0,0,0,0,0,0,107,107
13,0,0,0,0,0,0,0,0,0,103,103
14,0,0,0,0,0,0,0,0,0,87,87
15,0,0,0,0,0,0,0,0,0,73,73
16,0,0,0,0,0,0,0,0,0,86,86
17,0,0,0,0,0,0,0,0,0,63,63
18,0,0,0,0,0,0,0,0,0,72,72
19,0,0,0,0,0,0,0,0,0,55,55
20,0,0,0,0,0,0,0,0,0,57,57
21,0,0,0,0,0,0,0,0,0,66,66
22,0,0,0,0,0,0,0,0,0,64,64
23,0,0,0,0,0,0,0,0,0,68,68
24,0,0,0,0,0,0,0,0,0,73,73
25,0,0,0,0,0,0,0,0,0,64,64
26,0,0,0,0,0,0,0,0,0,80,80
27,0,0,0,0,0,0,0,0,0,67,67
28,0,0,0,0,0,0,0,0,0,87,87
29,0,0,0,0,0,0,0,0,0,66,66
30,0,0,0,0,0,0,0,0,0,90,90
31,0,0,0,0,0,0,0,0,0,84,84
32,0,0,0,0,0,0,0,0,0,76,76
33,0,0,0,0,0,0,0,0,0,57,57
34,0,0,0,0,0,0,0,0,0,71,71
35,0,0,0,0,0,0,0,0,0,69,69
36,0,0,0,0,0,0,0,0,0,78,78
37,0,0,0,0,0,0,0,0,0,68,68
38,0,0,0,0,0,0,0,0,0,74,75
39,0,0,0,0,0,0,0,0,0,71,71
40,0,0,0,0,0,0,0,0,0,47,48
41,0,0,0,0,0,0,0,0,0,68,68
42,0,0,0,0,0,0,0,0,0,60,60
43,0,0,0,0,0,0,0,0,0,62,64
44,0,0,0,0,0,0,0,0,0,58,61
45,0,0,0,0,0,0,0,0,0,54,55
46,0,0,0,0,0,0,0,0,0,69,69
47,0,0,0,0,0,0,0,0,0,59,61
48,0,0,0,0,0,0,0,0,0,64,66
49,0,0,0,0,0,0,0,0,0,57,58
50,0,0,0,0,0,0,0,0,0,60,60
51,0,0,0,0,0,0,0,0,0,66,67
52,0,0,0,0,0,0,0,0,0,77,79
53,0,0,0,0,0,0,0,0,0,71,71
54,0,0,0,0,0,0,0,0,0,48,51
55,0,0,0,0,0,0,0,0,0,69,69
56,0,0,0,0,0,0,0,0,0,62,62
57,0,0,0,0,0,0,0,0,0,79,79
58,0,0,0,0,0,0,0,0,0,59,59
59,0,0,0,0,0,0,0,0,0,54,56
60,0,0,0,0,0,0,0,0,0,55,56
61,0,0,0,0,0,0,0,0,0,64,65
62,0,0,0,1,0,0,0,0,0,50,52
63,0,0,0,0,0,0,0,0,0,55,55
64,0,0,0,0,0,0,0,0,0,75,77
65,0,0,0,0,0,0,0,0,0,51,54
66,0,0,0,1,0,0,0,0,0,62,64
67,0,0,0,2,0,0,0,0,0,67,70
68,0,0,0,0,0,0,0,0,0,61,62
69,0,0,0,0,0,0,0,0,0,61,62
70,0,0,0,1,0,0,0,0,0,54,55
71,0,0,0,1,0,0,0,0,0,59,60
72,0,0,0,1,0,0,0,0,0,83,84
73,0,0,0,0,0,0,0,0,0,67,68
74,0,0,0,0,0,0,0,0,0,52,52
75,0,0,0,0,0,0,0,0,0,58,58
76,0,0,0,0,0,0,0,0,0,51,54
77,0,0,0,0,0,0,0,0,0,44,45
78,0,0,0,0,0,0,0,0,0,58,59
79,0,0,0,1,0,0,0,0,0,66,67
80,0,0,0,0,0,0,0,0,0,57,58
81,0,0,0,0,0,0,0,0,0,55,57
82,0,0,0,1,0,0,0,0,0,50,51
83,0,0,0,1,0,0,0,0,0,64,67
84,0,0,0,0,0,0,0,0,0,65,67
85,0,0,0,0,0,0,0,0,0,50,50
86,0,0,0,1,0,0,0,0,0,56,57
87,0,0,0,3,0,0,0,0,0,51,55
88,0,0,0,0,0,0,0,0,0,60,61
89,0,0,0,5,0,0,0,0,0,68,75
90,0,0,0,2,0,0,0,0,0,49,52
91,0,0,0,1,0,0,0,0,0,51,53
92,0,0,0,0,0,0,0,0,0,56,57
93,0,0,0,0,0,0,0,0,0,39,43
94,0,0,0,1,0,0,0,0,0,54,57
95,1,0,0,4,0,0,0,0,0,57,63
96,1,0,0,1,0,0,0,0,0,57,59
97,0,0,0,2,0,0,0,0,0,66,70
98,0,0,0,3,0,0,0,0,0,58,62
99,0,0,0,1,0,0,0,0,0,56,60
100,0,0,0,2,0,0,0,0,0,57,62
101,0,0,0,3,0,0,0,0,0,56,62
102,0,0,0,1,0,0,0,0,0,60,65
103,0,0,0,2,0,0,0,0,0,59,61
104,0,0,0,2,0,0,0,0,0,57,60
105,0,0,0,1,0,0,0,0,0,52,53
106,0,0,0,3,0,0,0,0,0,56,61
107,0,0,0,1,0,0,0,0,0,61,62
108,1,0,0,5,0,0,0,0,0,48,55
109,0,0,0,3,0,0,0,0,0,42,46
110,0,0,0,2,0,0,0,0,0,51,54
111,0,0,0,1,0,0,0,0,0,52,55
112,0,0,0,1,0,0,0,0,0,51,53
113,0,0,0,1,0,0,0,0,0,59,61
114,0,0,0,1,0,0,0,0,0,68,70
115,0,0,0,5,0,0,0,0,0,52,59
116,0,0,0,3,0,0,0,0,0,65,68
117,0,0,0,4,0,0,0,0,0,46,51
118,0,0,0,2,0,0,0,0,0,38,40
119,0,0,0,1,0,0,0,0,0,54,58
120,0,0,0,1,0,0,0,0,0,51,53
121,0,0,0,3,0,0,0,0,0,53,60
122,0,0,0,5,0,0,0,0,0,51,58
123,1,0,0,5,0,0,0,0,0,67,76
124,0,0,0,4,0,0,0,0,0,51,60
125,1,0,0,5,0,0,0,0,0,47,56
126,0,0,0,6,0,0,0,0,0,51,59
127,0,0,0,4,0,0,0,0,0,58,63
128,0,0,0,4,0,0,0,0,0,61,68
129,1,0,0,5,0,0,0,0,0,47,59
130,0,0,0,2,0,0,0,0,0,58,64
131,0,0,0,4,0,0,0,0,0,48,54
132,0,0,0,4,0,0,0,0,0,57,61
133,1,0,0,2,0,0,0,0,0,60,68
134,1,0,0,8,0,0,0,0,0,61,71
135,0,0,0,2,0,0,0,0,0,52,59
136,0,0,0,3,0,0,0,0,0,52,57
137,0,0,0,5,0,0,0,0,0,52,61
138,0,0,0,2,0,0,0,0,0,39,45
139,0,0,0,2,0,0,0,0,0,52,59
140,2,0,0,5,0,0,0,0,0,54,64
141,0,0,0,3,0,0,0,0,0,61,66
142,0,0,0,9,0,0,0,0,0,40,57
143,1,0,0,3,0,0,0,0,0,56,62
144,0,0,0,3,0,0,0,0,0,51,56
145,1,0,0,6,0,0,0,0,1,59,68
146,0,0,0,3,0,0,0,0,0,47,54
147,0,0,0,4,0,0,0,0,0,59,66
148,1,0,0,8,0,0,0,0,0,41,53
149,0,0,0,4,0,0,0,0,0,50,57
150,0,0,0,10,0,0,0,0,0,52,65
151,1,0,0,6,0,0,0,0,0,42,57
152,0,0,0,2,0,0,0,0,0,64,74
153,0,0,0,1,0,0,0,0,0,45,51
154,3,0,0,4,0,0,0,0,0,39,51
155,0,0,0,10,0,0,0,0,0,45,62
156,0,0,0,5,0,0,0,0,0,45,56
157,0,0,0,11,0,0,0,0,0,43,57
158,1,0,0,11,0,0,0,0,0,46,64
159,0,0,0,5,0,0,0,0,0,43,56
160,0,0,0,14,0,0,0,0,0,46,65
161,1,0,0,7,0,0,0,0,0,51,63
162,1,0,0,3,0,0,0,0,0,42,49
163,0,0,0,3,0,0,0,0,0,39,49
164,0,0,0,4,0,0,0,0,0,46,56
165,1,0,0,2,0,0,0,0,0,52,60
166,3,0,0,8,0,0,0,0,0,52,69
167,2,0,0,13,0,0,0,0,0,41,61
168,2,0,0,11,0,0,0,0,0,43,65
169,1,0,0,9,0,0,0,0,0,42,61
170,0,0,0,2,0,0,0,0,0,54,66
171,2,0,0,11,0,0,0,0,0,40,57
172,2,0,0,8,0,0,0,0,0,43,58
173,0,0,0,1,0,0,0,0,0,50,58
174,0,0,0,9,0,0,0,0,0,43,58
175,3,0,0,8,0,0,0,0,0,42,66
176,3,0,0,11,0,0,0,0,0,51,76
177,2,0,0,8,0,0,0,0,0,35,51
178,3,0,0,12,0,0,0,0,0,40,59
179,0,0,0,6,0,0,0,0,0,56,71
180,1,0,0,8,0,0,0,0,0,44,58
