Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,55,55
2,0,0,0,0,0,0,0,0,0,87,87
3,0,0,0,0,0,0,0,0,0,86,86
4,0,0,0,0,0,0,0,0,0,104,104
5,0,0,0,0,0,0,0,0,0,135,135
6,0,0,0,0,0,0,0,0,0,120,120
7,0,0,0,0,0,0,0,0,0,132,132
8,0,0,0,0,0,0,0,0,0,118,118
9,0,0,0,0,0,0,0,0,0,104,104
10,0,0,0,0,0,0,0,0,0,106,106
11,0,0,0,0,0,0,0,0,0,95,95
12,0,0,0,0,0,0,0,0,0,104,104
13,0,0,0,0,0,0,0,0,0,78,78
14,0,0,0,0,0,0,0,0,0,101,101
15,0,0,0,0,0,0,0,0,0,73,73
16,0,0,0,0,0,0,0,0,0,77,77
17,0,0,0,0,0,0,0,0,0,85,85
18,0,0,0,0,0,0,0,0,0,56,56
19,0,0,0,0,0,0,0,0,0,74,74
20,0,0,0,0,0,0,0,0,0,63,63
21,0,0,0,0,0,0,0,0,0,63,63
22,0,0,0,0,0,0,0,0,0,82,82
23,0,0,0,0,0,0,0,0,0,78,78
24,0,0,0,0,0,0,0,0,0,63,63
25,0,0,0,0,0,0,0,0,0,76,76
26,0,0,0,0,0,0,0,0,1,84,85
27,0,0,0,0,0,0,0,0,0,89,89
28,0,0,0,0,0,0,0,0,0,78,78
29,0,0,0,0,0,0,0,0,0,70,70
30,0,0,0,0,0,0,0,0,0,68,68
31,0,0,0,0,0,0,0,0,0,78,78
32,0,0,0,0,0,0,0,0,0,79,79
33,0,0,0,0,0,0,0,0,0,81,81
34,0,0,0,0,0,0,0,0,0,94,94
35,0,0,0,0,0,0,0,0,0,69,69
36,0,0,0,0,0,0,0,0,0,71,71
37,0,0,0,0,0,0,0,0,0,66,67
38,0,0,0,0,0,0,0,0,0,79,79
39,0,0,0,0,0,0,0,0,0,65,65
40,0,0,0,0,0,0,0,0,0,62,64
41,0,0,0,0,0,0,0,0,0,63,63
42,0,0,0,0,0,0,0,0,0,63,63
43,0,0,0,0,0,0,0,0,0,60,60
44,0,0,0,0,0,0,0,0,0,72,73
45,0,0,0,0,0,0,0,0,0,60,61
46,0,0,0,0,0,0,0,0,0,66,68
47,0,0,0,0,0,0,0,0,0,47,47
48,0,0,0,0,0,0,0,0,0,63,63
49,0,0,0,0,0,0,0,0,0,78,79
50,0,0,0,0,0,0,0,0,0,54,55
51,0,0,0,0,0,0,0,0,0,62,63
52,0,0,0,0,0,0,0,0,0,75,75
53,0,0,0,0,0,0,0,0,0,55,56
54,0,0,0,0,0,0,0,0,0,64,67
55,0,0,0,0,0,0,0,0,0,55,55
56,0,0,0,0,0,0,0,0,0,62,64
57,0,0,0,0,0,0,0,0,0,56,58
58,0,0,0,0,0,0,0,0,0,76,77
59,0,0,0,1,0,0,0,0,0,70,73
60,0,0,0,0,0,0,0,0,0,64,65
61,0,0,0,0,0,0,0,0,0,46,46
62,0,0,0,1,0,0,0,0,0,62,63
63,0,0,0,0,0,0,0,0,0,59,60
64,0,0,0,1,0,0,0,0,0,64,65
65,0,0,0,2,0,0,0,0,0,58,60
66,0,0,0,1,0,0,0,0,0,69,71
67,0,0,0,1,0,0,0,0,0,68,70
68,0,0,0,1,0,0,0,0,0,69,70
69,0,0,0,0,0,0,0,0,0,59,59
70,0,0,0,0,0,0,0,0,0,59,59
71,0,0,0,0,0,0,0,0,0,51,51
