Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,42,42
2,0,0,0,0,0,0,0,0,0,101,101
3,0,0,0,0,0,0,0,0,0,121,121
4,0,0,0,0,0,0,0,0,0,108,108
5,0,0,0,0,0,0,0,0,0,113,113
6,0,0,0,0,0,0,0,0,0,108,108
7,0,0,0,0,0,0,0,0,0,119,119
8,0,0,0,0,0,0,0,0,0,127,127
9,0,0,0,0,0,0,0,0,0,99,99
10,0,0,0,0,0,0,0,0,0,99,99
11,0,0,0,0,0,0,0,0,0,110,110
12,2,0,0,0,0,0,0,0,0,83,85
13,1,0,0,0,0,0,0,0,0,89,90
14,2,0,0,0,0,0,0,0,0,83,85
15,2,0,0,0,0,0,0,0,0,88,90
16,0,0,0,0,0,0,0,0,0,78,78
17,1,0,0,0,0,0,0,0,0,57,58
18,1,0,0,0,0,0,0,0,0,60,61
19,3,0,0,0,0,0,0,0,0,65,68
20,0,0,0,0,0,0,0,0,0,44,44
21,0,0,0,0,0,0,0,0,0,61,61
22,4,0,0,0,0,0,0,0,0,66,70
23,3,0,0,0,0,0,0,0,0,69,72
24,1,0,0,0,0,0,0,0,0,67,68
25,2,0,0,0,0,0,0,0,0,84,86
26,4,0,0,0,0,0,0,0,0,73,77
27,0,0,0,0,0,0,0,0,0,78,78
28,2,0,0,0,0,0,0,0,0,83,85
29,1,0,0,0,0,0,0,0,0,68,69
30,0,0,0,0,0,0,0,0,0,71,71
31,0,0,0,0,0,0,0,0,0,69,69
32,0,0,0,0,0,0,0,0,0,67,67
33,1,0,0,0,0,0,0,0,0,70,71
34,0,0,0,0,0,0,0,0,0,71,71
35,2,0,0,0,0,0,0,0,0,71,73
36,0,0,0,0,0,0,0,0,0,68,68
37,2,0,0,0,0,0,0,0,0,63,65
38,0,0,0,0,0,0,0,0,0,66,66
39,1,0,0,0,0,0,0,0,0,61,63
40,2,0,0,0,0,0,0,0,0,58,60
41,0,0,0,0,0,0,0,0,0,53,53
42,0,0,0,0,0,0,0,0,0,66,66
