Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,51,51
2,0,0,0,0,0,0,0,0,0,61,61
3,0,0,0,0,0,0,0,0,0,91,91
4,0,0,0,0,0,0,0,0,0,88,88
5,0,0,0,0,0,0,0,0,0,104,104
6,0,0,0,0,0,0,0,0,0,106,106
7,0,0,0,0,0,0,0,0,0,91,91
8,0,0,0,0,0,0,0,0,0,93,93
9,0,0,0,0,0,0,0,0,0,97,97
10,0,0,0,0,0,0,0,0,0,96,96
11,0,0,0,0,0,0,0,0,0,91,91
12,0,0,0,0,0,0,0,0,0,89,89
13,0,0,0,0,0,0,0,0,0,79,79
14,0,0,0,0,0,0,0,0,0,80,80
15,0,0,0,0,0,0,0,0,0,70,70
16,0,0,0,0,0,0,0,0,0,55,55
17,0,0,0,0,0,0,0,0,0,69,69
18,0,0,0,0,0,0,0,0,0,63,63
19,0,0,0,0,0,0,0,0,0,49,49
20,0,0,0,0,0,0,0,0,0,64,64
21,0,0,0,0,0,0,0,0,0,63,63
22,0,0,0,0,0,0,0,0,0,62,62
23,0,0,0,0,0,0,0,0,0,57,57
24,0,0,0,0,0,0,0,0,0,61,61
25,0,0,0,0,0,0,0,0,0,67,67
26,0,0,0,0,0,0,0,0,0,61,61
27,0,0,0,0,0,0,0,0,0,60,60
28,0,0,0,0,0,0,0,0,0,70,70
29,0,0,0,0,0,0,0,0,0,64,64
30,0,0,0,0,0,0,0,0,0,59,59
31,0,0,0,0,0,0,0,0,0,69,69
32,0,0,0,0,0,0,0,0,0,72,72
33,0,0,0,0,0,0,0,0,0,52,52
34,0,0,0,0,0,0,0,0,0,62,62
35,0,0,0,0,0,0,0,0,0,62,62
36,0,0,0,0,0,0,0,0,0,55,55
37,0,0,0,0,0,0,0,0,0,48,48
38,0,0,0,0,0,0,0,0,0,55,55
39,0,0,0,0,0,0,0,0,0,46,47
40,0,0,0,0,0,0,0,0,0,61,62
41,0,0,0,0,0,0,0,0,0,57,58
42,0,0,0,0,0,0,0,0,0,65,65
43,0,0,0,0,0,0,0,0,0,51,51
44,0,0,0,0,0,0,0,0,0,49,50
45,0,0,0,0,0,0,0,0,0,54,54
46,0,0,0,0,0,0,0,0,0,54,54
47,0,0,0,0,0,0,0,0,0,44,44
48,0,0,0,0,0,0,0,0,0,53,53
49,0,0,0,0,0,0,0,0,0,63,65
50,0,0,0,0,0,0,0,0,0,54,54
51,0,0,0,0,0,0,0,0,0,64,64
52,0,0,0,0,0,0,0,0,0,56,56
53,0,0,0,0,0,0,0,0,0,51,52
54,0,0,0,0,0,0,0,0,0,62,62
55,0,0,0,0,0,0,0,0,0,69,69
56,0,0,0,0,0,0,0,0,0,62,63
57,0,0,0,0,0,0,0,0,0,62,62
58,0,0,0,0,0,0,0,0,0,61,61
59,0,0,0,0,0,0,0,0,0,48,50
60,0,0,0,0,0,0,0,0,0,57,57
61,0,0,0,0,0,0,0,0,0,57,58
62,0,0,0,1,0,0,0,0,0,46,47
63,0,0,0,1,0,0,0,0,0,50,51
64,0,0,0,0,0,0,0,0,0,51,52
65,0,0,0,2,0,0,0,0,0,41,44
66,0,0,0,1,0,0,0,0,0,48,49
67,0,0,0,2,0,0,0,0,0,39,41
68,0,0,0,0,0,0,0,0,0,61,61
69,0,0,0,1,0,0,0,0,0,50,51
70,0,0,0,0,0,0,0,0,0,56,57
71,0,0,0,1,0,0,0,0,0,61,62
72,0,0,0,0,0,0,0,0,0,40,41
73,0,0,0,1,0,0,0,0,0,43,44
74,0,0,0,0,0,0,0,0,0,53,53
75,0,0,0,1,0,0,0,0,0,47,49
76,0,0,0,2,0,0,0,0,0,55,60
77,0,0,0,2,0,0,0,0,0,61,65
78,0,0,0,0,0,0,0,0,0,49,49
79,0,0,0,1,0,0,0,0,0,48,51
80,0,0,0,1,0,0,0,0,0,57,59
81,0,0,0,1,0,0,0,0,0,57,60
82,0,0,0,1,0,0,0,0,0,52,55
83,0,0,0,0,0,0,0,0,0,50,51
84,0,0,0,1,0,0,0,0,0,50,52
85,0,0,0,3,0,0,0,0,0,57,60
86,0,0,0,1,0,0,0,0,0,42,44
87,0,0,0,0,0,0,0,0,0,37,39
88,0,0,0,0,0,0,0,0,0,51,51
89,0,0,0,1,0,0,0,0,0,51,54
90,0,0,0,4,0,0,0,0,0,46,52
91,0,0,0,0,0,0,0,0,0,49,50
92,0,0,0,2,0,0,0,0,0,47,52
93,0,0,0,0,0,0,0,0,0,44,46
94,0,0,0,1,0,0,0,0,0,36,38
95,0,0,0,2,0,0,0,0,0,43,46
