Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,53,53
2,0,0,0,0,0,0,0,0,0,91,91
3,0,0,0,0,0,0,0,0,0,115,115
4,0,0,0,0,0,0,0,0,0,100,100
5,0,0,0,0,0,0,0,0,0,112,112
6,0,0,0,0,0,0,0,0,0,109,109
7,0,0,0,0,0,0,0,0,0,113,113
8,0,0,0,0,0,0,0,0,0,110,110
9,0,0,0,0,0,0,0,0,0,111,111
10,0,0,0,0,0,0,0,0,0,96,96
11,0,0,0,0,0,0,0,0,0,90,90
12,0,0,0,0,0,0,0,0,0,101,101
13,0,0,0,0,0,0,0,0,0,88,88
14,0,0,0,0,0,0,0,0,0,78,78
15,0,0,0,0,0,0,0,0,0,70,70
16,0,0,0,0,0,0,0,0,0,67,67
17,0,0,0,0,0,0,0,0,0,60,60
18,0,0,0,0,0,0,0,0,0,68,68
19,0,0,0,0,0,0,0,0,0,58,58
20,0,0,0,0,0,0,0,0,0,71,71
21,0,0,0,0,0,0,0,0,0,72,72
22,0,0,0,0,0,0,0,0,0,55,55
23,0,0,0,0,0,0,0,0,0,69,69
24,0,0,0,0,0,0,0,0,0,65,65
25,0,0,0,0,0,0,0,0,0,69,69
26,0,0,0,0,0,0,0,0,0,64,64
27,0,0,0,0,0,0,0,0,0,67,67
28,0,0,0,0,0,0,0,0,0,68,68
29,0,0,0,0,0,0,0,0,0,71,71
30,0,0,0,0,0,0,0,0,0,80,80
31,0,0,0,0,0,0,0,0,0,79,79
32,0,0,0,0,0,0,0,0,0,61,61
33,0,0,0,0,0,0,0,0,0,71,71
34,0,0,0,0,0,0,0,0,0,49,49
35,0,0,0,0,0,0,0,0,0,66,66
36,0,0,0,0,0,0,0,0,0,59,59
37,0,0,0,0,0,0,0,0,0,54,55
38,0,0,0,0,0,0,0,0,0,59,59
39,0,0,0,0,0,0,0,0,0,62,63
40,0,0,0,0,0,0,0,0,0,63,63
41,0,0,0,0,0,0,0,0,0,54,55
42,0,0,0,0,0,0,0,0,0,69,69
43,0,0,0,0,0,0,0,0,0,69,69
44,0,0,0,0,0,0,0,0,0,63,64
45,0,0,0,0,0,0,0,0,0,73,74
46,0,0,0,0,0,0,0,0,0,56,57
47,0,0,0,0,0,0,0,0,0,68,69
48,0,0,0,0,0,0,0,0,0,61,62
