Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,47,47
2,0,0,0,0,0,0,0,0,0,77,77
3,0,0,0,0,0,0,0,0,0,101,101
4,0,0,0,0,0,0,0,0,0,122,122
5,0,0,0,0,0,0,0,0,0,105,105
6,0,0,0,0,0,0,0,0,0,110,110
7,0,0,0,0,0,0,0,0,0,117,117
8,0,0,0,0,0,0,0,0,0,124,124
9,0,0,0,0,0,0,0,0,0,122,122
10,2,0,0,0,0,0,0,0,0,109,111
11,1,0,0,0,0,0,0,0,0,111,112
12,1,0,0,0,0,0,0,0,0,89,90
13,2,0,0,0,0,0,0,0,0,82,84
14,2,0,0,0,0,0,0,0,0,64,66
15,0,0,0,0,0,0,0,0,0,77,77
16,1,0,0,0,0,0,0,0,0,62,63
17,1,0,0,0,0,0,0,0,0,52,53
18,3,0,0,0,0,0,0,0,0,61,64
19,7,0,0,0,0,0,0,0,0,57,64
20,6,0,0,0,0,0,0,0,0,71,77
21,7,0,0,0,0,0,0,0,0,69,76
22,5,0,0,0,0,0,0,0,0,59,64
23,1,0,0,0,0,0,0,0,0,63,64
24,1,0,0,0,0,0,0,0,0,74,75
25,1,0,0,0,0,0,0,0,0,67,68
26,1,0,0,0,0,0,0,0,0,67,68
27,0,0,0,0,0,0,0,0,0,87,87
28,2,0,0,0,0,0,0,0,0,68,70
29,0,0,0,0,0,0,0,0,0,84,84
30,1,0,0,0,0,0,0,0,0,82,83
31,2,0,0,0,0,0,0,0,0,62,64
32,2,0,0,0,0,0,0,0,0,69,72
33,0,0,0,0,0,0,0,0,0,73,73
34,0,0,0,0,0,0,0,0,0,75,75
35,1,0,0,0,0,0,0,0,0,51,52
36,0,0,0,0,0,0,0,0,0,70,70
37,0,0,0,0,0,0,0,0,0,59,60
38,0,0,0,0,0,0,0,0,0,54,54
39,0,0,0,0,0,0,0,0,0,62,63
40,0,0,0,0,0,0,0,0,0,59,59
41,0,0,0,0,0,0,0,0,0,53,55
42,1,0,0,0,0,0,0,0,0,64,66
43,0,0,0,0,0,0,0,0,0,64,65
44,0,0,0,0,0,0,0,0,0,70,72
45,1,0,0,0,0,0,0,0,0,59,61
46,2,0,0,0,0,0,0,0,0,58,61
47,0,0,0,0,0,0,0,0,0,67,68
48,0,0,0,0,0,0,0,0,0,55,56
49,0,0,0,0,0,0,0,0,0,54,56
50,0,0,0,0,0,0,0,0,0,73,77
51,1,0,0,0,0,0,0,0,0,53,55
52,1,0,0,0,0,0,0,0,0,55,59
53,0,0,0,1,0,0,0,0,0,67,69
54,0,0,0,1,0,0,0,0,0,54,57
55,0,0,0,0,0,0,0,0,0,60,62
56,0,0,0,0,0,0,0,0,0,63,64
57,0,0,0,0,0,0,0,0,0,65,65
58,0,0,0,0,0,0,0,0,0,47,48
59,0,0,0,0,0,0,0,0,0,56,57
60,0,0,0,0,0,0,0,0,0,69,71
61,0,0,0,0,0,0,0,0,0,54,54
62,0,0,0,0,0,0,0,0,0,50,51
63,0,0,0,0,0,0,0,0,0,58,58
64,0,0,0,0,0,0,0,0,0,56,59
65,0,0,0,0,0,0,0,0,0,53,56
66,0,0,0,0,0,0,0,0,0,64,64
67,0,0,0,0,0,0,0,0,0,54,55
68,0,0,0,1,0,0,0,0,0,46,47
69,0,0,0,1,0,0,0,0,0,63,64
70,0,0,0,1,0,0,0,0,0,53,55
71,0,0,0,1,0,0,0,0,0,62,64
72,0,0,0,0,0,0,0,0,0,59,59
73,0,0,0,1,0,0,0,0,0,59,61
74,0,0,0,2,0,0,0,0,0,46,48
75,0,0,0,0,0,0,0,0,0,33,33
76,0,0,0,3,0,0,0,0,0,47,52
77,0,0,0,1,0,0,0,0,0,59,60
78,0,0,0,1,0,0,0,0,0,62,64
79,0,0,0,2,0,0,0,0,0,60,62
80,0,0,0,1,0,0,0,0,0,49,51
81,0,0,0,1,0,0,0,0,0,70,74
82,0,0,0,1,0,0,0,0,0,65,67
83,0,0,0,2,0,0,0,0,0,52,55
84,0,0,0,0,0,0,0,0,0,57,57
85,0,0,0,0,0,0,0,0,0,62,64
86,0,0,0,1,0,0,0,0,0,59,62
87,0,0,0,1,0,0,0,0,0,57,59
88,0,0,0,0,0,0,0,0,0,62,64
89,0,0,0,0,0,0,0,0,0,51,52
90,0,0,0,2,0,0,0,0,0,58,62
91,0,0,0,2,0,0,0,0,0,66,70
92,0,0,0,1,0,0,0,0,0,49,50
93,0,0,0,1,0,0,0,0,0,49,51
94,0,0,0,1,0,0,0,0,0,59,61
95,1,0,0,2,0,0,0,0,0,68,73
96,0,0,0,1,0,0,0,0,0,71,74
97,0,0,0,0,0,0,0,0,0,54,54
98,0,0,0,2,0,0,0,0,0,48,51
99,0,0,0,0,0,0,0,0,0,58,60
100,0,0,0,0,0,0,0,0,0,54,56
101,0,0,0,0,0,0,0,0,0,61,61
102,0,0,0,2,0,0,0,0,0,57,59
103,0,0,0,3,0,0,0,0,0,54,60
104,0,0,0,1,0,0,0,0,0,45,47
105,0,0,0,2,0,0,0,0,0,56,61
106,0,0,0,0,0,0,0,0,0,65,68
107,0,0,0,1,0,0,0,0,0,48,51
108,0,0,0,3,0,0,0,0,0,50,54
109,0,0,0,1,0,0,0,0,0,51,57
110,0,0,0,5,0,0,0,0,0,47,53
111,0,0,0,1,0,0,0,0,0,59,62
112,0,0,0,3,0,0,0,0,0,55,60
113,0,0,0,0,0,0,0,0,0,54,58
114,0,0,0,2,0,0,0,0,0,59,62
115,0,0,0,2,0,0,0,0,0,55,60
116,0,0,0,5,0,0,0,0,0,37,43
117,0,0,0,2,0,0,0,0,0,51,54
118,0,0,0,1,0,0,0,0,0,65,70
119,0,0,0,2,0,0,0,0,0,64,68
120,0,0,0,3,0,0,0,0,0,43,46
121,0,0,0,0,0,0,0,0,0,59,61
122,0,0,0,2,0,0,0,0,0,49,51
