Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,50,50
2,0,0,0,0,0,0,0,0,0,69,69
3,0,0,0,0,0,0,0,0,0,92,92
4,0,0,0,0,0,0,0,0,0,110,110
5,0,0,0,0,0,0,0,0,0,108,108
6,0,0,0,0,0,0,0,0,0,102,102
7,0,0,0,0,0,0,0,0,0,118,118
8,0,0,0,0,0,0,0,0,0,116,116
9,0,0,0,0,0,0,0,0,0,101,101
10,0,0,0,0,0,0,0,0,0,112,112
11,2,0,0,0,0,0,0,0,0,104,106
12,1,0,0,0,0,0,0,0,0,80,81
13,1,0,0,0,0,0,0,0,0,73,74
14,3,0,0,0,0,0,0,0,0,86,89
15,3,0,0,0,0,0,0,0,0,66,69
16,0,0,0,0,0,0,0,0,0,59,59
17,1,0,0,0,0,0,0,0,0,67,68
18,2,0,0,0,0,0,0,0,0,72,74
19,4,0,0,0,0,0,0,0,0,58,62
20,1,0,0,0,0,0,0,0,0,76,77
21,4,0,0,0,0,0,0,0,0,65,69
22,0,0,0,0,0,0,0,0,0,58,58
23,3,0,0,0,0,0,0,0,0,66,69
24,2,0,0,0,0,0,0,0,0,59,61
25,1,0,0,0,0,0,0,0,0,61,62
26,4,0,0,0,0,0,0,0,0,66,70
27,0,0,0,0,0,0,0,0,0,59,59
28,2,0,0,0,0,0,0,0,0,68,70
29,0,0,0,0,0,0,0,0,0,72,72
30,0,0,0,0,0,0,0,0,0,93,93
31,0,0,0,0,0,0,0,0,0,65,65
32,0,0,0,0,0,0,0,0,0,67,67
33,1,0,0,0,0,0,0,0,0,74,75
34,0,0,0,0,0,0,0,0,0,65,65
35,0,0,0,0,0,0,0,0,0,68,68
36,0,0,0,0,0,0,0,0,0,63,64
37,1,0,0,0,0,0,0,0,0,44,45
38,1,0,0,0,0,0,0,0,0,73,76
39,1,0,0,0,0,0,0,0,0,71,73
40,0,0,0,0,0,0,0,0,0,65,65
41,0,0,0,0,0,0,0,0,0,60,60
42,0,0,0,0,0,0,0,0,0,76,79
43,0,0,0,0,0,0,0,0,0,65,65
44,1,0,0,0,0,0,0,0,0,61,63
45,0,0,0,0,0,0,0,0,0,60,61
46,0,0,0,0,0,0,0,0,0,67,68
47,0,0,0,0,0,0,0,0,0,55,58
48,1,0,0,0,0,0,0,0,0,62,63
49,0,0,0,0,0,0,0,0,0,67,67
50,0,0,0,0,0,0,0,0,0,65,65
51,0,0,0,1,0,0,0,0,0,62,64
52,0,0,0,0,0,0,0,0,0,61,62
53,0,0,0,0,0,0,0,0,0,50,50
54,0,0,0,0,0,0,0,0,0,63,63
55,0,0,0,0,0,0,0,0,0,66,67
56,1,0,0,0,0,0,0,0,0,51,54
57,1,0,0,0,0,0,0,0,0,54,57
58,0,0,0,0,0,0,0,0,0,49,50
59,0,0,0,0,0,0,0,0,0,70,72
60,0,0,0,1,0,0,0,0,0,55,58
61,0,0,0,0,0,0,0,0,0,68,68
62,0,0,0,0,0,0,0,0,0,65,65
63,0,0,0,0,0,0,0,0,0,43,44
64,0,0,0,0,0,0,0,0,0,51,51
65,0,0,0,0,0,0,0,0,0,53,53
66,0,0,0,0,0,0,0,0,0,47,49
67,0,0,0,3,0,0,0,0,0,56,60
68,0,0,0,0,0,0,0,0,0,66,69
69,0,0,0,1,0,0,0,0,0,54,57
70,0,0,0,0,0,0,0,0,0,56,58
71,0,0,0,1,0,0,0,0,0,71,72
72,0,0,0,0,0,0,0,0,0,58,59
73,0,0,0,0,0,0,0,0,0,53,53
74,0,0,0,2,0,0,0,0,0,70,72
75,0,0,0,2,0,0,0,0,0,58,61
76,0,0,0,1,0,0,0,0,0,55,57
77,0,0,0,0,0,0,0,0,0,44,45
78,0,0,0,2,0,0,0,0,0,38,41
79,0,0,0,1,0,0,0,0,0,53,55
80,0,0,0,0,0,0,0,0,0,57,58
81,0,0,0,2,0,0,0,0,0,57,59
82,0,0,0,0,0,0,0,0,0,57,57
