Time,HH,HR,HS,HW,RR,RS,RW,SS,SW,WW,Total.Pop.
0,0,0,0,0,0,0,0,0,0,50,50
1,0,0,0,0,0,0,0,0,0,39,39
2,0,0,0,0,0,0,0,0,0,78,78
3,0,0,0,0,0,0,0,0,0,101,101
4,0,0,0,0,0,0,0,0,0,105,105
5,0,0,0,0,0,0,0,0,0,111,111
6,0,0,0,0,0,0,0,0,0,128,128
7,0,0,0,0,0,0,0,0,0,101,101
8,0,0,0,0,0,0,0,0,0,121,121
9,0,0,0,0,0,0,0,0,0,104,104
10,0,0,0,0,0,0,0,0,0,122,122
11,0,0,0,0,0,0,0,0,0,99,99
12,0,0,0,0,0,0,0,0,0,86,86
13,2,0,0,0,0,0,0,0,0,91,93
14,2,0,0,0,0,0,0,0,0,82,84
15,4,0,0,0,0,0,0,0,0,64,68
16,4,0,0,0,0,0,0,0,0,65,69
17,2,0,0,0,0,0,0,0,0,69,71
18,1,0,0,0,0,0,0,0,0,58,59
19,3,0,0,0,0,0,0,0,0,64,67
20,3,0,0,0,0,0,0,0,0,65,68
21,2,0,0,0,0,0,0,0,0,59,61
22,3,0,0,0,0,0,0,0,0,68,71
23,4,0,0,0,0,0,0,0,0,58,62
24,2,0,0,0,0,0,0,0,0,85,87
25,2,0,0,0,0,0,0,0,0,65,67
26,2,0,0,0,0,0,0,0,0,69,71
27,3,0,0,0,0,0,0,0,0,84,87
28,0,0,0,0,0,0,0,0,0,97,97
29,0,0,0,0,0,0,0,0,0,63,63
30,1,0,0,0,0,0,0,0,0,65,66
31,0,0,0,0,0,0,0,0,0,71,71
32,1,0,0,0,0,0,0,0,0,80,81
33,0,0,0,0,0,0,0,0,0,86,86
34,0,0,0,0,0,0,0,0,0,70,71
35,0,0,0,0,0,0,0,0,0,73,73
36,1,0,0,0,0,0,0,0,0,79,80
37,0,0,0,0,0,0,0,0,0,56,56
38,0,0,0,0,0,0,0,0,0,66,69
39,1,0,0,0,0,0,0,0,0,56,57
40,1,0,0,0,0,0,0,0,0,55,57
41,0,0,0,0,0,0,0,0,0,64,64
42,1,0,0,0,0,0,0,0,0,46,47
43,0,0,0,0,0,0,0,0,0,42,42
44,0,0,0,0,0,0,0,0,0,58,59
45,0,0,0,0,0,0,0,0,0,73,76
46,0,0,0,0,0,0,0,0,0,58,58
47,0,0,0,0,0,0,0,0,0,58,58
48,0,0,0,0,0,0,0,0,0,70,72
49,0,0,0,0,0,0,0,0,0,61,61
50,0,0,0,0,0,0,0,0,0,68,68
51,0,0,0,0,0,0,0,0,0,66,69
52,0,0,0,0,0,0,0,0,0,70,73
53,0,0,0,0,0,0,0,0,0,62,62
54,0,0,0,1,0,0,0,0,0,64,66
55,1,0,0,0,0,0,0,0,0,75,76
56,0,0,0,0,0,0,0,0,0,61,62
57,0,0,0,0,0,0,0,0,0,56,57
58,0,0,0,0,0,0,0,0,0,70,70
59,0,0,0,0,0,0,0,0,0,45,46
60,0,0,0,0,0,0,0,0,0,61,61
61,0,0,0,1,0,0,0,0,0,57,59
62,0,0,0,0,0,0,0,0,0,53,53
63,0,0,0,2,0,0,0,0,0,65,67
64,0,0,0,0,0,0,0,0,0,62,62
65,1,0,0,0,0,0,0,0,0,56,57
66,0,0,0,0,0,0,0,0,0,55,55
67,0,0,0,2,0,0,0,0,0,67,71
68,0,0,0,0,0,0,0,0,0,82,82
69,0,0,0,3,0,0,0,0,0,49,53
70,0,0,0,2,0,0,0,0,0,61,65
71,0,0,0,1,0,0,0,0,0,70,73
72,0,0,0,2,0,0,0,0,0,66,68
73,0,0,0,1,0,0,0,0,0,64,66
74,0,0,0,1,0,0,0,0,0,55,56
75,0,0,0,0,0,0,0,0,0,69,69
76,0,0,0,0,0,0,0,0,0,59,59
77,0,0,0,2,0,0,0,0,0,64,66
78,0,0,0,2,0,0,0,0,0,63,66
79,0,0,0,0,0,0,0,0,0,60,62
80,0,0,0,1,0,0,0,0,0,49,51
81,0,0,0,0,0,0,0,0,0,46,46
82,0,0,0,1,0,0,0,0,0,57,58
83,0,0,0,1,0,0,0,0,0,56,58
84,0,0,0,1,0,0,0,0,0,52,54
85,0,0,0,1,0,0,0,0,0,60,62
86,0,0,0,1,0,0,0,0,0,45,46
87,0,0,0,1,0,0,0,0,0,68,69
88,0,0,0,1,0,0,0,0,0,41,43
89,0,0,0,1,0,0,0,0,0,45,49
90,0,0,0,2,0,0,0,0,0,57,60
91,0,0,0,1,0,0,0,0,0,67,68
92,0,0,0,0,0,0,0,0,0,45,45
93,0,0,0,3,0,0,0,0,0,54,60
94,0,0,0,3,0,0,0,0,0,60,63
95,0,0,0,2,0,0,0,0,0,51,53
96,0,0,0,0,0,0,0,0,0,60,60
97,0,0,0,1,0,0,0,0,0,79,80
98,0,0,0,1,0,0,0,0,0,55,57
99,0,0,0,1,0,0,0,0,0,56,59
100,0,0,0,2,0,0,0,0,0,57,61
101,0,0,0,1,0,0,0,0,0,59,63
102,0,0,0,7,0,0,0,0,0,59,68
103,0,0,0,1,0,0,0,0,0,48,52
104,0,0,0,4,0,0,0,0,0,61,66
105,0,0,0,1,0,0,0,0,0,52,57
106,0,0,0,1,0,0,0,0,0,53,54
107,0,0,0,4,0,0,0,0,0,62,67
108,0,0,0,1,0,0,0,0,0,58,60
109,0,0,0,2,0,0,0,0,0,54,57
110,0,0,0,2,0,0,0,0,0,55,60
111,0,0,0,3,0,0,0,0,0,52,58
112,0,0,0,6,0,0,0,0,0,51,58
113,0,0,1,2,0,0,0,0,0,48,52
114,0,0,0,1,0,0,0,0,0,57,61
115,0,0,0,4,0,0,0,0,0,58,66
116,0,0,0,1,0,0,0,0,0,59,64
117,0,0,0,0,0,0,0,0,0,50,54
118,0,0,0,2,0,0,0,0,0,46,52
119,0,0,0,1,0,0,0,0,0,48,53
120,0,0,0,0,0,0,0,0,0,52,53
121,0,0,0,3,0,0,0,0,0,57,60
122,0,0,0,2,0,0,0,0,0,57,61
123,0,0,0,3,0,0,0,0,0,41,45
124,0,0,0,5,0,0,0,0,0,49,57
125,0,0,0,4,0,0,0,0,0,55,66
126,0,0,0,2,0,0,0,0,0,56,61
127,1,0,0,3,0,0,0,0,0,42,50
128,0,0,0,7,0,0,0,0,0,54,62
129,0,0,0,4,0,0,0,0,0,62,76
130,0,0,0,5,0,0,0,0,0,53,59
131,1,0,0,5,0,0,0,0,0,58,64
132,0,0,0,2,0,0,0,0,0,40,43
133,0,0,0,5,0,0,0,0,0,53,60
134,0,0,0,1,0,0,0,0,0,51,56
135,0,0,0,0,0,0,0,0,0,59,61
136,0,0,0,6,0,0,0,0,0,62,75
137,0,0,0,4,0,0,0,0,0,52,57
138,1,0,0,4,0,0,0,0,0,58,68
139,1,0,0,5,0,0,0,0,0,46,55
140,0,0,0,5,0,0,0,0,0,55,63
141,0,0,0,2,0,0,0,0,0,52,56
142,1,0,0,4,0,0,0,0,0,46,55
143,0,0,0,3,0,0,0,0,0,47,51
144,0,0,0,3,0,0,0,0,0,49,56
